**Bursa Malaysia Stock Categories**

This table provides a comprehensive overview of stock categories for Bursa Malaysia, sourced from both Bursa Malaysia classifications and curated lists.

| Category ID                      | Category Name                       | Visibility | Type                    | Description                                                                                                                                                                                                                                                                                                      |
| fire-service                       | Fire Service                          | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| gaming                             | Gaming                                | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| gas                                | Gas                                   | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| jewellery                          | Jewellery                             | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| mech-and-elec                      | M&E                                   | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| marine                             | Marine Operation & Chartering         | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| automotive-battery                 | Automotive Battery                    | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| cements                            | Cements                               | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| electronic                         | Electronic                            | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| medical-service-and-equipment    | Medical Service & Equipment           | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| petrochemicals                     | Petrochemicals                        | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| palm-oil-machineries               | Palm Oil Machineries                  | HIDE       |                       |
|plastic-product1 	                  |Plastic Product (Consumer) 	    | HIDE 		        |                       |
|ports 	                               |Ports 	                            |HIDE 		    |                        |
|publications 	                       |Publication & Printing 	            |HIDE 		    |                       |
|rubber-plantations 	               |Rubber Plantations 	                |HIDE 		    |                       |
|rubber-products 	                   |Rubber Products 	                |HIDE 		    |                       |
|stone-and-quarry 	                   |Stone & Quarry 	                    |HIDE 		    |                       |
|tins 	                               |Tins 	                            |main 		    |                       |
|transportations 	                   |Transportations 	                |HIDE 		    |                       |
|coffee 	                           |Coffee 	                            |HIDE 		    |Stocks related to coffee in Bursa Malaysia. This caffeinated sector will make you stay awake.|
|malaysian-steel 	                   |Malaysian Steel 	                |HIDE 		    |Stocks related to Malaysian steel in Bursa Malaysia.|
